Date_Time,Terms_Accept,Sust_Develop,Biodiv,Sust_Imp,Biodiv_Imp,Clim_Change,Clim_Life,Fire_Use,Fire_Apps,Fire_Never,Fire_Clean,Fire_Pest,Fire_Agr,Trash,Fire_break,Fire_ProtectForest,Fire_Imp,Fire_Month,Fire_Rain,Fire_Early,Fire_Mid,Fire_Late,Fire_Oct,Fire_Freq,Fire_Freq_RL,Fire_Freq_RL_Acc,Fire_Out,Fire_Month_Out,Fire_Out_Jun_Jul,Fire_Out_AugSep,Fire_Out_Oct,Avoid_Late_Fire,App_Early_Fire,Bio_Econ,Bio_Heal,Bio_Wat,Econ_Wat,Econ_Heal,Wat_Heal,Wat_Dis,Wat_Clim,Wat_Cost,Wat_Graz,Wat_Pest,Wat_Trad,Wat_Cons,Dis_Clim,Dis_Cost,Dis_Graz,Dis_Pest,Dis_Trad,Dis_Cons,Clim_Cost,Clim_Graz,Clim_Pest,Clim_Trad,Clim_Cons,Cost_Graz,Cost_Pest,Cost_Trad,Cost_Cons,Graz_Pest,Graz_Trad,Graz_Cons,Pest_Trad,Pest_Cons,Trad_Cons,Gender,Age,Ethnicity,Scolarity,Prop_Contrib_Income,Income,Locality,Time_Rural,Prop_Area_ha,Agr_Area_ha,Occupation,Agr_Prods
9/25/2022 22:55:55,Sim,Nao,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente","Para_limpeza_de_trilhas_e_arredores_de_abrigos,_Para_afastar_pestes_e_serpentes",0,1,1,0,0,0,0,Importante,Agosto_e/ou_Setembro,0,0,0,1,0,Todo_ano,Nunca,"Nao,_nunca","Sim,_todo_ano",Agosto_e/ou_Setembro,0,1,0,Sim,Nao,1,9,9,9,9,5,9,1,2,2,1,2,5,1,1,1,1,1,5,1,1,1,1,5,1,1,1,9,5,5,9,5,9,9,Male,35-49anos,White,Medio,Insignificante(0-9%),"R$2.501,00-R$5.000,00",Palmas/TO,Entre_1_e_2_anos,6-10ha,1,Servidor_Publico,"Pecuaria,_Milho,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Galinha,_porco,peru"
9/25/2022 23:05:19,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_um_pouco","Nao,_nunca",Nunca,1,0,0,0,0,0,0,Nada_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano",Agosto_e/ou_Setembro,0,1,0,Sim,Talvez,5,5,5,9,8,5,5,4,5,1,1,1,5,5,5,1,1,1,5,5,1,1,1,5,5,1,1,5,5,5,9,5,9,9,Male,25-34anos,White,Medio,Insignificante(0-9%),"R$2.501,00-R$5.000,00",Palmas/TO,Entre_1_e_2_anos,0-5ha,0.06,Assalariado,"Frutas_(abacaxi,_melancia,_banana)"
9/25/2022 23:13:23,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Sim,_todo_ano",Para_limpeza_de_trilhas_e_arredores_de_abrigos,0,1,0,0,0,0,0,Pouco_importante,Outubro,0,0,0,0,1,Nunca,Nunca,"Nao,_nunca","Sim,_às_vezes",Agosto_e/ou_Setembro,0,1,0,Sim,Talvez,5,5,5,5,5,5,5,8,5,1,2,1,5,5,1,2,1,1,5,5,1,2,5,5,5,2,5,5,5,5,5,5,5,5,Male,65anosoumais,Brown,Medio,Insignificante(0-9%),"R$10.001,00-R$20.000,00",Palmas/TO,Entre_1_e_2_anos,0-5ha,0.2,Aposentado,"Pecuaria,_Frutas_(abacaxi,_melancia,_banana),_Galinha"
9/25/2022 23:22:41,Sim,Sim,Sim,Importante,Importante,Sim,"Sim,_um_pouco","Nao,_nunca",Nunca,1,0,0,0,0,0,0,Nada_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Agosto_e/ou_Setembro,_Outubro",0,1,1,Sim,Sim,2,5,8,8,9,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,35-49anos,Brown,Medio,Insignificante(0-9%),"R$2.501,00-R$5.000,00",Palmas/TO,Entre_3_e_5_anos,0-5ha,0.2,Autônomo,"Pecuaria,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Cafe,_Algodao,_Galinha,_carneiro,_suinos"
9/25/2022 23:32:48,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente","Para_limpeza_de_trilhas_e_arredores_de_abrigos,_Lixo",0,1,0,0,1,0,0,Importante,Agosto_e/ou_Setembro,0,0,0,1,0,Nunca,Nunca,"Nao,_nunca","Nao,_nunca",Agosto_e/ou_Setembro,0,1,0,Sim,Nao,1,9,9,9,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,1,1,5,1,1,1,7,5,6,9,9,9,5,Male,35-49anos,Brown,Fundamental,Totalmentedependente(90a100%),"R$501,00-R$1.000,00",Palmas/TO,Entre_6_e_10_anos,0-5ha,0.2,Produtor_Rural_(proprietario),"Pecuaria,_Frutas_(abacaxi,_melancia,_banana),_Galinhas"
9/25/2022 23:42:27,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Nao,_nunca",Nunca,1,0,0,0,0,0,0,Nada_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Junho_e/ou_Julho,_Agosto_e/ou_Setembro",1,1,0,Sim,Nao,1,3,5,9,9,5,3,5,1,1,1,3,1,5,1,1,1,1,9,1,1,1,1,5,1,1,5,9,9,9,9,5,9,9,Male,25-34anos,Brown,Superior,Totalmentedependente(90a100%),"R$10.001,00-R$20.000,00",Palmas/TO,Entre_6_e_10_anos,11-20ha,6,Produtor_Rural_(proprietario),"Milho,_Mandioca,_Feijao,_Frutas_(abacaxi,_melancia,_banana),_Cafe,_Cana-de-açucar,_Algodao,_Aquicultura"
9/25/2022 23:49:19,Sim,Sim,Sim,Importante,Importante,Sim,"Sim,_muito","Sim,_todo_ano",Para_renovar_a_area_de_pastagem/cultivo,0,0,0,1,0,0,0,Importante,"Agosto_e/ou_Setembro,_Outubro",0,0,0,1,1,"Um_ano_sim,_outro_ano_nao_(de_dois_em_dois_anos)",Nunca,"Nao,_nunca","Sim,_às_vezes","Junho_e/ou_Julho,_Agosto_e/ou_Setembro,_Outubro",1,1,1,Talvez,Nao,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,65anosoumais,Brown,Fundamental,Totalmentedependente(90a100%),"R$1.001,00-R$2.500,00",Palmas/TO,Mais_de_10_anos,Maisde100ha,50,Produtor_Rural_(proprietario),"Pecuaria,_Milho,_Mandioca,_Arroz,_Feijao,_Frutas_(abacaxi,_melancia,_banana),_Cafe"
9/25/2022 23:58:18,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente",Para_limpeza_de_trilhas_e_arredores_de_abrigos,0,1,0,0,0,0,0,Pouco_importante,Ao_longo_do_ano,1,1,1,1,1,Nunca,Nunca,"Nao,_nunca","Sim,_raramente","Junho_e/ou_Julho,_Agosto_e/ou_Setembro,_Outubro",1,1,1,Sim,Talvez,9,9,9,5,8,5,5,8,5,1,5,5,5,5,7,2,5,5,5,5,1,5,5,5,1,5,5,5,8,9,9,5,5,5,Male,50-64anos,Black,Medio,Insignificante(0-9%),"R$2.501,00-R$5.000,00",Palmas/TO,Entre_3_e_5_anos,0-5ha,0.2,Autônomo,"Pecuaria,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Galinhas"
9/26/2022 0:05:45,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_um_pouco","Às_vezes,_casualmente",Para_limpeza_de_trilhas_e_arredores_de_abrigos,0,1,0,0,0,0,0,Pouco_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Agosto_e/ou_Setembro,_Outubro",0,1,1,Sim,Sim,5,5,5,9,9,5,5,4,4,5,6,4,5,4,5,3,4,1,5,5,5,4,4,5,6,6,4,8,3,5,5,7,9,5,Male,50-64anos,Brown,Fundamental,Poucodependente(10-39%),"R$2.501,00-R$5.000,00",Palmas/TO,Entre_3_e_5_anos,0-5ha,4.8,Aposentado,"Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Algodao,_Galinha,_peixe"
9/26/2022 0:14:31,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente",Para_limpeza_de_trilhas_e_arredores_de_abrigos,0,1,0,0,0,0,0,Importante,"Junho_e/ou_Julho,_Agosto_e/ou_Setembro,_Ao_longo_do_ano",0,0,1,1,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Agosto_e/ou_Setembro,_Outubro",0,1,1,Talvez,Talvez,1,9,9,9,9,5,1,5,5,1,5,5,5,9,5,1,5,5,5,5,5,5,5,9,5,9,5,9,5,5,9,5,9,9,Female,35-49anos,Brown,Superior,Insignificante(0-9%),"R$2.501,00-R$5.000,00",Palmas/TO,Menos_de_1_ano,0-5ha,2,Servidor_Publico,"Pecuaria,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Cana-de-açucar,_Algodao,_Galinha"
9/26/2022 22:16:33,Sim,Sim,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente",Lixo,0,0,0,0,1,0,0,Pouco_importante,Chuvas,1,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Junho_e/ou_Julho,_Agosto_e/ou_Setembro,_Outubro",1,1,1,Sim,Nao,1,5,5,7,6,5,4,7,5,3,5,5,5,7,5,3,3,5,7,4,3,3,5,8,3,4,5,8,8,8,8,8,8,5,Male,25-34anos,Black,Medio,Insignificante(0-9%),"R$1.001,00-R$2.500,00",Palmas/TO,Mais_de_10_anos,0-5ha,3,Autônomo,"Pecuaria,_Milho,_Feijao,_Frutas_(abacaxi,_melancia,_banana),_Cana-de-açucar,_Algodao,_Galinha,_suinos,_batata_doce"
9/26/2022 22:21:32,Sim,Nao,Sim,Muito_importante,Muito_importante,Sim,"Sim,_muito","Nao,_nunca",Nunca,1,0,0,0,0,0,0,Nada_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano","Junho_e/ou_Julho,_Agosto_e/ou_Setembro",1,1,0,Nao,Nao,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,35-49anos,White,Fundamental,Totalmentedependente(90a100%),"R$1.001,00-R$2.500,00",Palmas/TO,Mais_de_10_anos,0-5ha,0.2,Produtor_Rural_(proprietario),"Pecuaria,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Cana-de-açucar,_Hortas,_galinha"
9/26/2022 22:28:34,Sim,Sim,Sim,Importante,Importante,Sim,"Sim,_um_pouco","Às_vezes,_casualmente",Para_evitar_o_alastramento_de_incêndios_nao_controlados_em_sua_propriedade,0,0,0,0,0,1,0,Importante,"Março_a_maio,_Junho_e/ou_Julho",0,1,1,0,0,"Um_ano_sim,_outro_ano_nao_(de_dois_em_dois_anos)",Nunca,"Nao,_nunca","Sim,_todo_ano",Agosto_e/ou_Setembro,0,1,0,Sim,Sim,1,6,6,9,9,6,1,9,1,1,1,6,5,5,5,1,1,5,5,6,1,1,1,5,1,2,6,6,9,9,9,6,9,9,Female,35-49anos,Brown,Superior,Poucodependente(10-39%),"R$2.501,00-R$5.000,00",Palmas/TO,Mais_de_10_anos,0-5ha,0.5,Servidor_Publico,"Pecuaria,_Mandioca,_Frutas_(abacaxi,_melancia,_banana),_Cana-de-açucar,_Algodao,_Galinha,_suinos_"
9/26/2022 22:35:02,Sim,Nao,Nao,Importante,Muito_importante,Sim,"Sim,_muito","Às_vezes,_casualmente",Para_limpeza_de_trilhas_e_arredores_de_abrigos,0,1,0,0,0,0,0,Pouco_importante,Nunca,0,0,0,0,0,Nunca,Nunca,"Nao,_nunca","Sim,_todo_ano",Agosto_e/ou_Setembro,0,1,0,Sim,Nao,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Female,65anosoumais,Brown,Alfabetizaçao,Insignificante(0-9%),"R$1.001,00-R$2.500,00",Palmas/TO,Mais_de_10_anos,0-5ha,0,Produtor_Rural_(proprietario),"Pecuaria,_Feijao,_Frutas_(abacaxi,_melancia,_banana)"
